iter	RMSE
161	5.258064978
162	5.254607032
163	5.251849166
164	5.250252431
165	5.249908793
166	5.248031988
167	5.244949025
168	5.24367576
169	5.241606023
170	5.240110153
171	5.236478573
172	5.232599532
173	5.231369435
174	5.230057553
175	5.226612971
176	5.224689602
177	5.223010183
178	5.22099945
179	5.21838408
180	5.21385534
181	5.212210838
182	5.209590689
183	5.208313601
184	5.207227009
185	5.206249204
186	5.205839334
187	5.201534793
188	5.197804886
189	5.196483388
190	5.194940402
191	5.192367969
192	5.19079115
193	5.188410628
194	5.185507984
195	5.184373087
196	5.182580553
197	5.180215182
198	5.178447721
199	5.177234391
200	5.174256562
201	5.171841474
202	5.170444675
203	5.16679628
204	5.165355825
205	5.163185845
206	5.159912094
207	5.158004034
208	5.15649143
209	5.155170096
210	5.151715022
211	5.149186339
212	5.145294149
213	5.14165997
214	5.138483559
215	5.135771563
216	5.134804824
217	5.133921278
218	5.132057015
219	5.128730487
220	5.125693352
221	5.124561639
222	5.121564298
223	5.120561318
224	5.119458761
225	5.116014094
226	5.111985367
227	5.1108545
228	5.108415757
229	5.105053775
230	5.104040076
231	5.103146027
232	5.100147839
233	5.099207709
234	5.098205688
235	5.096071529
236	5.094234179
237	5.091113581
238	5.090669821
239	5.089780353
240	5.088314433
241	5.084292883
242	5.082591458
243	5.078319164
244	5.073026392
245	5.072026918
246	5.070469225
247	5.068848328
248	5.067695679
249	5.063271413
250	5.062437018
251	5.058844358
252	5.057098738
253	5.055406453
254	5.054359521
255	5.049203681
256	5.04739443
257	5.046647345
258	5.042932595
259	5.042135768
260	5.037846874
261	5.036255372
262	5.034188077
263	5.031659555
264	5.030068863
265	5.029214782
266	5.02444062
267	5.024121724
268	5.022711144
269	5.017954219
270	5.016300519
271	5.011377615
272	5.008777603
273	5.005657784
274	5.003067183
275	4.998584742
276	4.99697698
277	4.994658065
278	4.993790174
279	4.991260741
280	4.988060364
281	4.987511176
282	4.983264005
283	4.982040253
284	4.9810761
285	4.980688805
286	4.974849111
287	4.97320328
288	4.97238185
289	4.96782692
290	4.964707914
291	4.963580139
292	4.960463716
293	4.95833115
294	4.957918674
295	4.955741802
296	4.951641009
297	4.950577312
298	4.948843725
299	4.946525875
300	4.944353358
301	4.943558806
302	4.943259068
303	4.94097008
304	4.938883651
305	4.938523453
306	4.937773852
307	4.936505767
308	4.934893828
309	4.933037323
310	4.929870839
311	4.928152211
312	4.927328241
313	4.925017468
314	4.92081595
315	4.919481111
316	4.917302539
317	4.913332038
318	4.912205268
319	4.91009857
320	4.90826906
321	4.903225936
322	4.900562038
323	4.900242667
324	4.899513782
325	4.898370496
326	4.894250933
327	4.891508464
328	4.890810382
329	4.890165041
330	4.887156994
331	4.884903049
332	4.883844424
333	4.883037968
334	4.881391655
335	4.879799347
336	4.879710063
337	4.875298316
338	4.871516591
339	4.870790955
340	4.869190031
341	4.867414268
342	4.864694903
343	4.863889246
344	4.858770521
345	4.858179544
346	4.854365198
347	4.853537059
348	4.850908701
349	4.849820562
350	4.846919841
351	4.844359076
352	4.8416107
353	4.840660649
354	4.836002832
355	4.833222016
356	4.831458515
357	4.828887977
358	4.828389389
359	4.824461324
360	4.823892566
361	4.823320997
362	4.822551297
363	4.819924842
364	4.818057873
365	4.8164837
366	4.814048568
367	4.811686621
368	4.811271006
369	4.809916745
370	4.809518048
371	4.807185558
372	4.804670681
373	4.803333858
374	4.802265284
375	4.799785731
376	4.797288836
377	4.795290033
378	4.792148836
379	4.790766299
380	4.786751917
381	4.780083961
382	4.777129328
383	4.773522814
384	4.770401149
385	4.769241533
386	4.767601688
387	4.76581044
388	4.760711147
389	4.759597927
390	4.757731371
391	4.756553803
392	4.756263418
393	4.755900826
394	4.754173184
395	4.753073119
396	4.750399709
397	4.747955052
398	4.746321596
399	4.745629071
400	4.743413918
401	4.741789177
402	4.738951568
403	4.735345402
404	4.733949348
405	4.730917653
406	4.72973828
407	4.729546086
408	4.728418374
409	4.72770521
410	4.724290665
411	4.723900367
412	4.723099675
413	4.720432054
414	4.719087871
415	4.716524095
416	4.714675613
417	4.714445251
418	4.710622068
419	4.709967492
420	4.709293
421	4.70547282
422	4.703714166
423	4.702507163
424	4.698873679
425	4.69697246
426	4.696646242
427	4.691814651
428	4.691607271
429	4.690902895
430	4.690712747
431	4.685664413
432	4.684193783
433	4.683592705
434	4.679281212
435	4.677829723
436	4.677089161
437	4.673581553
438	4.672534046
439	4.671673525
440	4.67078838
441	4.67022518
442	4.66996492
443	4.669412863
444	4.667720614
445	4.664868501
446	4.664412416
447	4.664064275
448	4.662042602
449	4.659182311
450	4.657817966
451	4.656713836
452	4.654808825
453	4.653229307
454	4.652211387
455	4.651198251
456	4.649171798
457	4.646824681
458	4.646077729
459	4.644570893
460	4.643229773
461	4.641534651
462	4.64067665
463	4.636616014
464	4.634399063
465	4.632498735
466	4.631036976
467	4.628919399
468	4.627640408
469	4.624523874
470	4.623586014
471	4.621852747
472	4.618552969
473	4.615526938
474	4.612729479
475	4.611046776
476	4.608023975
477	4.606723478
478	4.603108704
479	4.600627322
480	4.600008532
481	4.596922286
482	4.594976278
483	4.593748418
484	4.590944247
485	4.590719307
486	4.58749048
487	4.586185057
488	4.585933212
489	4.584503617
490	4.584165832
491	4.583203719
492	4.582290564
493	4.580671036
494	4.579852235
495	4.577111627
496	4.575486943
497	4.57463826
498	4.574335286
499	4.573742104
500	4.572143161
501	4.570896058
502	4.568720967
503	4.566659872
504	4.564824714
505	4.562318609
506	4.561294825
507	4.560872417
508	4.560555346
509	4.558122154
510	4.555808157
511	4.552833982
512	4.55111496
513	4.548897076
514	4.546490615
515	4.544903283
516	4.542375879
517	4.53962647
518	4.536894559
519	4.536868838
520	4.531020406
521	4.529521452
522	4.525027764
523	4.523830644
524	4.52182509
525	4.520842579
526	4.52052048
527	4.519124045
528	4.517530273
529	4.514627968
530	4.513382866
531	4.513219684
532	4.509830918
533	4.506618275
534	4.503748628
535	4.503136685
536	4.499814167
537	4.499218946
538	4.496419187
539	4.495118984
540	4.494913369
541	4.494488684
542	4.492544539
543	4.487942738
544	4.485935001
545	4.485337312
546	4.482059408
547	4.481560205
548	4.48021035
549	4.477696093
550	4.475781199
551	4.475617732
552	4.474981486
553	4.473592846
554	4.472919566
555	4.472525141
556	4.46850979
557	4.465770026
558	4.464239491
559	4.462782699
560	4.46205893
561	4.461571574
562	4.459397354
563	4.458803425
564	4.456808124
565	4.456340074
566	4.454612801
567	4.452006908
568	4.450170568
569	4.447146461
570	4.445874094
571	4.44530331
572	4.441654793
573	4.437557607
574	4.435866204
575	4.435627265
576	4.43428163
577	4.433515892
578	4.432575961
579	4.429255374
580	4.4289237
581	4.426730388
582	4.426314934
583	4.424569593
584	4.422371501
585	4.420591073
586	4.416566561
587	4.413568613
588	4.412074426
589	4.409603926
590	4.405874304
591	4.404490474
592	4.403101516
593	4.402489402
594	4.401920495
595	4.39999322
596	4.397963308
597	4.397791645
598	4.395360204
599	4.39172686
600	4.390820718
601	4.389913757
602	4.38638348
603	4.386091708
604	4.383681093
605	4.383170011
606	4.381746722
607	4.379884977
608	4.377013766
609	4.376865759
610	4.375447238
611	4.37387692
612	4.373714303
613	4.373084418
614	4.371404773
615	4.369266108
616	4.368704338
617	4.368153198
618	4.366310175
619	4.363546804
620	4.362784777
621	4.362206667
622	4.358794589
623	4.356981819
624	4.35489681
625	4.353193973
626	4.35200829
627	4.351533725
628	4.349518562
629	4.349431489
630	4.347926954
631	4.346235903
632	4.344890911
633	4.342077753
634	4.341652323
635	4.339371454
636	4.338707882
637	4.338181043
638	4.337940751
639	4.337357172
640	4.334684519
641	4.333118217
642	4.332982737
643	4.331294209
644	4.328382147
645	4.327085031
646	4.326875122
647	4.326772364
648	4.325621256
649	4.322959563
650	4.32275306
651	4.320447753
652	4.318241654
653	4.317899646
654	4.316048312
655	4.31521201
656	4.314738566
657	4.313581336
658	4.313482813
659	4.311594828
660	4.310016729
661	4.309007775
662	4.307502414
663	4.306967921
664	4.305875828
665	4.305045524
666	4.303535232
667	4.301521927
668	4.30101798
669	4.298991971
670	4.297229883
671	4.29669393
672	4.295250568
673	4.292571853
674	4.290382037
675	4.288184682
676	4.286253946
677	4.285211164
678	4.284968303
679	4.284817203
680	4.282232755
681	4.281963705
682	4.280415732
683	4.279574987
684	4.278559442
685	4.277755857
686	4.276789164
687	4.275139562
688	4.272301592
689	4.271123119
690	4.268422089
691	4.267552038
692	4.264881465
693	4.264491228
694	4.263684568
695	4.26109877
696	4.260818686
697	4.256660299
698	4.255250384
699	4.254650248
700	4.253505893
701	4.252376269
702	4.252124654
703	4.250647753
704	4.248975899
705	4.247089965
706	4.246465073
707	4.245894998
708	4.2450939
709	4.24415849
710	4.243911359
711	4.242049954
712	4.241787082
713	4.241648609
714	4.240434586
715	4.237832309
716	4.236989755
717	4.234998498
718	4.234375179
719	4.234186756
720	4.233752098
721	4.231234822
722	4.231072445
723	4.230532093
724	4.227870227
725	4.227381525
726	4.226023171
727	4.224475694
728	4.223397732
729	4.222505762
730	4.220674905
731	4.218004179
732	4.217492194
733	4.216695375
734	4.215196071
735	4.21389658
736	4.212270782
737	4.212051398
738	4.211210918
739	4.210424315
740	4.20926966
741	4.20859107
742	4.207513208
743	4.205227201
744	4.201734167
745	4.201641952
746	4.20068447
747	4.198766762
748	4.19832832
749	4.198234639
750	4.197636572
751	4.195595308
752	4.195440357
753	4.19366083
754	4.193597854
755	4.190631124
756	4.187742022
757	4.187344682
758	4.187205834
759	4.187013563
760	4.18527251
761	4.183243702
762	4.182381172
763	4.18095102
764	4.179927988
765	4.177419325
766	4.176400346
767	4.175903361
768	4.174288689
769	4.173774256
770	4.173685445
771	4.171205889
772	4.169836506
773	4.167200216
774	4.165823822
775	4.165569183
776	4.16492646
777	4.163072576
778	4.162138409
779	4.161033375
780	4.160796247
781	4.157519518
782	4.155950557
783	4.154281037
784	4.149752019
785	4.148261504
786	4.147108006
787	4.145458928
788	4.14372261
789	4.142012984
790	4.14167135
791	4.140582526
792	4.139234991
793	4.137980122
794	4.13770817
795	4.136219337
796	4.134963025
797	4.133061377
798	4.131248907
799	4.131041802
800	4.128889785
801	4.128034443
802	4.126033012
803	4.125256644
804	4.123517858
805	4.122746826
806	4.121619097
807	4.120617404
808	4.118926226
809	4.118210979
810	4.118049761
811	4.114933544
812	4.111105532
813	4.110164759
814	4.109256999
815	4.108154703
816	4.108113371
817	4.107353556
818	4.105765391
819	4.105004046
820	4.104822668
821	4.102921596
822	4.101873054
823	4.100057807
824	4.097662075
825	4.096042254
826	4.094065174
827	4.094023109
828	4.093947123
829	4.093179363
830	4.091861633
831	4.089883369
832	4.086318123
833	4.085859982
834	4.084421178
835	4.08371629
836	4.083026463
837	4.080530237
838	4.080331863
839	4.078178499
840	4.078071143
841	4.078026224
842	4.077157004
843	4.07405339
844	4.072115856
845	4.070284351
846	4.068895336
847	4.06519705
848	4.063029643
849	4.062146101
850	4.060707362
851	4.060011954
852	4.058892187
853	4.057179277
854	4.05633469
855	4.056066206
856	4.054985521
857	4.054869033
858	4.050833683
859	4.049317686
860	4.048258337
861	4.047600327
862	4.045910178
863	4.045103633
864	4.044626491
865	4.042948538
866	4.042242291
867	4.04177641
868	4.040078241
869	4.039025735
870	4.038818405
871	4.0387358
872	4.038215222
873	4.036415895
874	4.035229755
875	4.034290111
876	4.033334939
877	4.032933634
878	4.03277548
879	4.03232958
880	4.031524797
881	4.030399831
882	4.029900949
883	4.028258306
884	4.027652091
885	4.026845611
886	4.02400713
887	4.02294447
888	4.021647753
889	4.021254635
890	4.021203146
891	4.021073085
892	4.020465475
893	4.019567574
894	4.019534938
895	4.018857879
896	4.017888746
897	4.017296126
898	4.016565425
899	4.015422853
900	4.014913944
901	4.014850507
902	4.013992222
903	4.01277388
904	4.012637105
905	4.012167562
906	4.009934413
907	4.009893057
908	4.009017531
909	4.008443433
910	4.007648623
911	4.007391454
912	4.00353663
913	4.002900916
914	4.002271885
915	4.001208452
916	4.000453141
917	3.996903376
918	3.996499173
919	3.994575057
920	3.993741992
921	3.991984835
922	3.991246299
923	3.989775527
924	3.987016357
925	3.986506042
926	3.985221575
927	3.983002577
928	3.982272066
929	3.981783969
930	3.979298809
931	3.978763581
932	3.977556733
933	3.976294845
934	3.975960462
935	3.975515773
936	3.972770471
937	3.970203322
938	3.970091089
939	3.968138151
940	3.967925659
941	3.967855624
942	3.966284695
943	3.964359536
944	3.960976263
945	3.959901698
946	3.959644944
947	3.959287902
948	3.959083206
949	3.9585926
950	3.956924993
951	3.954565537
952	3.954035913
953	3.953640635
954	3.951821171
955	3.95034898
956	3.950097705
957	3.949663311
958	3.948650268
959	3.948539034
960	3.947691233
961	3.946823561
962	3.945391795
963	3.944500698
964	3.942687287
965	3.942066981
966	3.939457324
967	3.938239174
968	3.938160341
969	3.937621864
970	3.937278234
971	3.936230952
972	3.934962089
973	3.933046931
974	3.932450721
975	3.932153808
976	3.931497628
977	3.929676874
978	3.929310698
979	3.92926953
980	3.928679785
981	3.927920912
982	3.926729132
983	3.923438382
984	3.922478384
985	3.92159131
986	3.921196922
987	3.91992025
988	3.919840139
989	3.918525991
990	3.917617909
991	3.916762677
992	3.915218578
993	3.914005455
994	3.913961058
995	3.913708728
996	3.911975543
997	3.909449891
998	3.909396787
999	3.90827104
